Player #,# Rounds,# Vertices,# Players,Edge Density,Algorithm,Ranking,Score,# Controlled Vertices
1,5,97,2,0.4955274077927338,random,2,113.70198675496694,42
2,5,97,2,0.4955274077927338,neighbors,1,168.09316770186345,55
1,5,85,3,0.45427421017610653,uncontrolled max,3,60.910931174089065,16
2,5,85,3,0.45427421017610653,greedy,1,150.77380952380946,47
3,5,85,3,0.45427421017610653,neighbors,2,71.8452380952381,22
1,2,197,5,0.2755966427598215,neighbors,2,138.39873417721518,43
2,2,197,5,0.2755966427598215,neighbors,1,143.9123376623377,44
3,2,197,5,0.2755966427598215,random,5,99.71177504393673,32
4,2,197,5,0.2755966427598215,max,4,124.90206185567007,37
5,2,197,5,0.2755966427598215,max,3,127.1514629948365,41
1,2,140,4,0.3338656884908028,random,3,106.56716417910451,36
2,2,140,4,0.3338656884908028,max,1,128.0,40
3,2,140,4,0.3338656884908028,random,2,110.30303030303034,37
4,2,140,4,0.3338656884908028,max,4,75.80487804878047,27
1,3,129,5,0.2069294601299499,max,4,63.04511278195488,21
2,3,129,5,0.2069294601299499,max,3,66.68929503916449,20
3,3,129,5,0.2069294601299499,uncontrolled max,5,53.159340659340664,15
4,3,129,5,0.2069294601299499,greedy,1,162.68146214099218,50
5,3,129,5,0.2069294601299499,neighbors,2,74.71782178217819,23
1,4,244,3,0.3759717978184869,greedy,1,287.32710280373817,91
2,4,244,3,0.3759717978184869,max,3,182.7607843137255,61
3,4,244,3,0.3759717978184869,greedy,2,285.2207084468664,92
1,5,189,4,0.13455582369279806,uncontrolled max,2,149.68006993006995,48
2,5,189,4,0.13455582369279806,uncontrolled max,4,97.72351885098746,33
3,5,189,4,0.13455582369279806,random,3,132.43795620437956,46
4,5,189,4,0.13455582369279806,random,1,201.5779334500876,62
1,4,241,6,0.06600918437390912,uncontrolled max,6,66.08594815825376,20
2,4,241,6,0.06600918437390912,max,3,117.69767441860468,42
3,4,241,6,0.06600918437390912,max,4,98.16187989556133,28
4,4,241,6,0.06600918437390912,neighbors,1,212.06684856753068,67
5,4,241,6,0.06600918437390912,neighbors,2,187.83309143686495,58
6,4,241,6,0.06600918437390912,uncontrolled max,5,90.85828877005346,26
1,5,112,6,0.21049506491147507,greedy,2,74.34482758620689,23
2,5,112,6,0.21049506491147507,random,6,42.13166144200626,15
3,5,112,6,0.21049506491147507,max,5,42.634441087613304,12
4,5,112,6,0.21049506491147507,random,3,55.830815709969805,19
5,5,112,6,0.21049506491147507,greedy,1,89.66568914956011,27
6,5,112,6,0.21049506491147507,random,4,53.0,16
1,5,168,2,0.12630123445534308,neighbors,2,252.0,78
2,5,168,2,0.12630123445534308,neighbors,1,282.94736842105266,90
1,3,248,6,0.3770386969046151,max,5,106.57297297297302,36
2,3,248,6,0.3770386969046151,max,4,112.06694560669456,36
3,3,248,6,0.3770386969046151,random,6,69.8843930635838,25
4,3,248,6,0.3770386969046151,uncontrolled max,3,117.95121951219518,38
5,3,248,6,0.3770386969046151,greedy,1,244.03199999999993,79
6,3,248,6,0.3770386969046151,neighbors,2,129.26259946949605,34
1,2,243,4,0.019760593007703997,max,4,34.09353507565337,10
2,2,243,4,0.019760593007703997,max,1,280.7845934379459,87
3,2,243,4,0.019760593007703997,uncontrolled max,3,99.54620689655171,34
4,2,243,4,0.019760593007703997,uncontrolled max,2,250.40443213296402,80
1,4,126,2,0.3683598081553245,neighbors,1,218.18734177215183,72
2,4,126,2,0.3683598081553245,max,2,158.55,54
1,4,148,5,0.4796891435084667,neighbors,1,127.84821428571426,37
2,4,148,5,0.4796891435084667,max,5,74.68202764976957,22
3,4,148,5,0.4796891435084667,uncontrolled max,4,78.6457399103139,25
4,4,148,5,0.4796891435084667,random,2,98.77981651376146,34
5,4,148,5,0.4796891435084667,max,3,90.15720524017466,30
1,2,148,5,0.49821872667560807,neighbors,4,72.11136890951273,23
2,2,148,5,0.49821872667560807,uncontrolled max,2,81.1718061674009,25
3,2,148,5,0.49821872667560807,greedy,1,189.3529411764706,59
4,2,148,5,0.49821872667560807,max,5,52.47272727272727,16
5,2,148,5,0.49821872667560807,neighbors,3,80.11304347826088,25
1,2,101,3,0.05342976329504279,max,3,21.18881118881119,5
2,2,101,3,0.05342976329504279,max,2,80.01760563380282,24
3,2,101,3,0.05342976329504279,greedy,1,190.89000000000001,61
1,3,236,2,0.44863801075954773,random,2,261.84921763869147,90
2,3,236,2,0.44863801075954773,greedy,1,455.5738636363627,146
1,3,220,3,0.28140950685412636,max,3,149.66929133858264,51
2,3,220,3,0.28140950685412636,neighbors,1,326.39625585023407,108
3,3,220,3,0.28140950685412636,random,2,193.93846153846155,61
1,3,122,5,0.2753748842653929,uncontrolled max,2,83.9536082474227,24
2,3,122,5,0.2753748842653929,random,5,30.582210242587596,11
3,3,122,5,0.2753748842653929,max,4,48.72781065088758,13
4,3,122,5,0.2753748842653929,uncontrolled max,3,74.92913385826773,24
5,3,122,5,0.2753748842653929,random,1,152.41909814323603,50
1,3,165,5,0.07446591540978231,uncontrolled max,3,97.8488372093023,29
2,3,165,5,0.07446591540978231,uncontrolled max,5,40.75301204819277,15
3,3,165,5,0.07446591540978231,random,4,54.233067729083665,20
4,3,165,5,0.07446591540978231,neighbors,1,171.0,58
5,3,165,5,0.07446591540978231,neighbors,2,130.85040983606564,43
1,3,224,3,0.16506954272492708,random,2,203.98297872340407,65
2,3,224,3,0.16506954272492708,max,3,171.16981132075477,58
3,3,224,3,0.16506954272492708,random,1,306.0090771558247,101
1,2,98,2,0.43782897410530947,max,2,149.90131578947364,46
2,2,98,2,0.43782897410530947,max,1,156.93950177935943,52
1,4,73,3,0.32004460653240685,neighbors,3,48.66666666666666,17
2,4,73,3,0.32004460653240685,uncontrolled max,2,76.2909836065574,24
3,4,73,3,0.32004460653240685,greedy,1,93.72052401746726,32
1,3,143,5,0.4564871781838333,uncontrolled max,4,82.10967741935481,25
2,3,143,5,0.4564871781838333,neighbors,3,89.28947368421056,29
3,3,143,5,0.4564871781838333,neighbors,5,77.81384248210024,27
4,3,143,5,0.4564871781838333,uncontrolled max,1,107.768115942029,32
5,3,143,5,0.4564871781838333,uncontrolled max,2,90.62022471910113,30
1,3,199,6,0.4656791182270428,max,4,90.96147110332751,31
2,3,199,6,0.4656791182270428,random,5,73.97382198952879,25
3,3,199,6,0.4656791182270428,random,6,26.087394957983193,10
4,3,199,6,0.4656791182270428,neighbors,2,156.13846153846157,45
5,3,199,6,0.4656791182270428,greedy,1,174.2487562189056,56
6,3,199,6,0.4656791182270428,neighbors,3,104.80895008605854,32
1,5,67,2,0.3016756995550915,max,2,85.07936507936508,26
2,5,67,2,0.3016756995550915,neighbors,1,131.6896551724138,41
1,5,231,2,0.4806768945964797,uncontrolled max,1,371.32388059701475,118
2,5,231,2,0.4806768945964797,neighbors,2,346.0259917920656,113
1,5,182,2,0.3057438646146261,uncontrolled max,2,216.79411764705858,72
2,5,182,2,0.3057438646146261,max,1,334.74392523364463,110
1,2,195,3,0.37245291696140675,neighbors,2,138.47341337907383,44
2,2,195,3,0.37245291696140675,greedy,1,329.2983870967738,110
3,2,195,3,0.37245291696140675,neighbors,3,129.8898305084746,41
1,5,204,3,0.3113865045746428,max,1,265.0093457943926,85
2,5,204,3,0.3113865045746428,random,3,140.56875,48
3,5,204,3,0.3113865045746428,uncontrolled max,2,233.5652173913045,71
1,5,113,2,0.05965701941735396,max,2,102.3958944281525,31
2,5,113,2,0.05965701941735396,neighbors,1,243.46363636363645,79
1,5,90,2,0.32772923391488074,uncontrolled max,2,120.33707865168535,41
2,5,90,2,0.32772923391488074,random,1,152.65384615384613,49
1,2,104,2,0.2053482161722645,neighbors,1,179.4782608695651,62
